Hero Name,Role,Pick Rate (%),Win Rate (%),Rank,Pick Rate Normalized,,,Avg Pick Rates,
Cloak & Dagger,Strategist,22.25,52.19,Bronze,,,,Duelist,0.043478261
Jeff the Land Shark,Strategist,17.45,47.63,Bronze,,,,Strategist,0.090909091
Gambit,Strategist,14.48,49.61,Bronze,,,,Vanguard,0.076923077
Invisible Woman,Strategist,12.83,48.13,Bronze,,,,,
Moon Knight,Duelist,12.49,52.19,Bronze,,,,,
Emma Frost,Vanguard,11.77,48.37,Bronze,,,,,
Magneto,Vanguard,10.59,50.05,Bronze,,,,,
Deadpool,Vanguard,10.15,49.24,Bronze,,,,,
Doctor Strange,Vanguard,9.85,49.88,Bronze,,,,,
Peni Parker,Vanguard,9.31,54.8,Bronze,,,,,
Rogue,Vanguard,8.65,53.03,Bronze,,,,,
Luna Snow,Strategist,8.38,48.64,Bronze,,,,,
The Punisher,Duelist,8.04,47.28,Bronze,,,,,
Scarlet Witch,Duelist,7.99,49.08,Bronze,,,,,
Venom,Vanguard,7.89,46.99,Bronze,,,,,
Thor,Vanguard,7.72,52.91,Bronze,,,,,
Groot,Vanguard,7.25,49.04,Bronze,,,,,
Squirrel Girl,Duelist,7.23,48.14,Bronze,,,,,
Deadpool,Strategist,6.69,46.95,Bronze,,,,,
The Thing,Vanguard,5.87,49.46,Bronze,,,,,
Spider- Man,Duelist,5.61,52.15,Bronze,,,,,
Rocket Raccoon,Strategist,5.51,54.34,Bronze,,,,,
Phoenix,Duelist,5.29,48.63,Bronze,,,,,
Hela,Duelist,5.27,52.19,Bronze,,,,,
Psylocke,Duelist,5.18,49.99,Bronze,,,,,
Iron Man,Duelist,5.1,50.93,Bronze,,,,,
Winter Soldier,Duelist,5.07,48.32,Bronze,,,,,
Star-Lord,Duelist,4.65,47.68,Bronze,,,,,
Magik,Duelist,4.54,55.07,Bronze,,,,,
Namor,Duelist,4.49,50.21,Bronze,,,,,
Angela,Vanguard,4.42,53.43,Bronze,,,,,
Mantis,Strategist,3.87,53.85,Bronze,,,,,
Captain America,Vanguard,3.59,49.25,Bronze,,,,,
Hawkeye,Duelist,3.58,50.84,Bronze,,,,,
Loki,Strategist,3.51,46.62,Bronze,,,,,
Ultron,Strategist,3.15,58.4,Bronze,,,,,
Hulk,Vanguard,2.94,49.79,Bronze,,,,,
Deadpool,Duelist,2.3,48.74,Bronze,,,,,
Daredevil,Duelist,2.14,54.76,Bronze,,,,,
Blade,Duelist,2.01,49.18,Bronze,,,,,
Iron Fist,Duelist,1.96,51.98,Bronze,,,,,
Adam Warlock,Strategist,1.88,49.44,Bronze,,,,,
Mister Fantastic,Duelist,1.79,56.07,Bronze,,,,,
Wolverine,Duelist,1.35,49.38,Bronze,,,,,
Black Panther,Duelist,1.2,52.88,Bronze,,,,,
Black Widow,Duelist,1.06,38.55,Bronze,,,,,
Storm,Duelist,0.98,51.54,Bronze,,,,,
Human Torch,Duelist,0.69,44.34,Bronze,,,,,
